nama_kabupaten_kota,growth_cat,growth_value,tahun
BANDUNG,growth2019,0.8461538461538461,2019
BANDUNG BARAT,growth2019,0.4,2019
BEKASI,growth2019,0.6,2019
BOGOR,growth2019,6.0,2019
CIAMIS,growth2019,0.0,2019
CIANJUR,growth2019,-0.25,2019
CIREBON,growth2019,4.352941176470588,2019
GARUT,growth2019,2.0,2019
INDRAMAYU,growth2019,4.6,2019
KARAWANG,growth2019,-0.9259259259259259,2019
KOTA BANDUNG,growth2019,5.977777777777778,2019
KOTA BANJAR,growth2019,-0.9333333333333333,2019
KOTA BEKASI,growth2019,-0.3333333333333333,2019
KOTA BOGOR,growth2019,1.6923076923076923,2019
KOTA CIMAHI,growth2019,-0.25,2019
KOTA CIREBON,growth2019,-0.375,2019
KOTA DEPOK,growth2019,3.0,2019
KOTA SUKABUMI,growth2019,-0.8275862068965517,2019
KOTA TASIKMALAYA,growth2019,-0.4,2019
KUNINGAN,growth2019,-0.8125,2019
MAJALENGKA,growth2019,0.6666666666666666,2019
PANGANDARAN,growth2019,1.0,2019
PURWAKARTA,growth2019,1.0588235294117647,2019
SUBANG,growth2019,-0.6530612244897959,2019
SUKABUMI,growth2019,3.0588235294117645,2019
SUMEDANG,growth2019,0.14285714285714285,2019
TASIKMALAYA,growth2019,-0.8260869565217391,2019
BANDUNG,growth2020,0.2604166666666667,2020
BANDUNG BARAT,growth2020,0.23809523809523808,2020
BEKASI,growth2020,14.875,2020
BOGOR,growth2020,0.35714285714285715,2020
CIAMIS,growth2020,3.2,2020
CIANJUR,growth2020,-0.3333333333333333,2020
CIREBON,growth2020,-0.3076923076923077,2020
GARUT,growth2020,-0.08333333333333333,2020
INDRAMAYU,growth2020,-0.32142857142857145,2020
KARAWANG,growth2020,24.5,2020
KOTA BANDUNG,growth2020,-0.1464968152866242,2020
KOTA BANJAR,growth2020,23.0,2020
KOTA BEKASI,growth2020,79.5,2020
KOTA BOGOR,growth2020,-0.5142857142857142,2020
KOTA CIMAHI,growth2020,1.0,2020
KOTA CIREBON,growth2020,4.8,2020
KOTA DEPOK,growth2020,1.9166666666666667,2020
KOTA SUKABUMI,growth2020,11.6,2020
KOTA TASIKMALAYA,growth2020,2.1666666666666665,2020
KUNINGAN,growth2020,2.6666666666666665,2020
MAJALENGKA,growth2020,1.45,2020
PANGANDARAN,growth2020,3.3333333333333335,2020
PURWAKARTA,growth2020,0.2571428571428571,2020
SUBANG,growth2020,0.7058823529411765,2020
SUKABUMI,growth2020,0.30434782608695654,2020
SUMEDANG,growth2020,0.1875,2020
TASIKMALAYA,growth2020,13.75,2020
BANDUNG,growth2021,0.38016528925619836,2021
BANDUNG BARAT,growth2021,0.6538461538461539,2021
BEKASI,growth2021,-0.14960629921259844,2021
BOGOR,growth2021,1.368421052631579,2021
CIAMIS,growth2021,-0.09523809523809523,2021
CIANJUR,growth2021,3.5,2021
CIREBON,growth2021,1.2222222222222223,2021
GARUT,growth2021,2.3636363636363638,2021
INDRAMAYU,growth2021,2.0526315789473686,2021
KARAWANG,growth2021,-0.4117647058823529,2021
KOTA BANDUNG,growth2021,-0.033582089552238806,2021
KOTA BANJAR,growth2021,-0.2916666666666667,2021
KOTA BEKASI,growth2021,-0.37267080745341613,2021
KOTA BOGOR,growth2021,2.823529411764706,2021
KOTA CIMAHI,growth2021,-0.16666666666666666,2021
KOTA CIREBON,growth2021,0.0,2021
KOTA DEPOK,growth2021,1.161904761904762,2021
KOTA SUKABUMI,growth2021,-0.14285714285714285,2021
KOTA TASIKMALAYA,growth2021,-0.631578947368421,2021
KUNINGAN,growth2021,1.3636363636363635,2021
MAJALENGKA,growth2021,-0.2653061224489796,2021
PANGANDARAN,growth2021,-0.07692307692307693,2021
PURWAKARTA,growth2021,-0.18181818181818182,2021
SUBANG,growth2021,-0.41379310344827586,2021
SUKABUMI,growth2021,0.16666666666666666,2021
SUMEDANG,growth2021,0.2631578947368421,2021
TASIKMALAYA,growth2021,1.1355932203389831,2021
